2010.04.16,00:00,1.35780,1.35800,1.34730,1.35000,42935
2010.04.19,00:00,1.34760,1.34960,1.34160,1.34890,37917
2010.04.20,00:00,1.34890,1.35210,1.34280,1.34410,36343
2010.04.21,00:00,1.34400,1.34460,1.33580,1.33870,37647
2010.04.22,00:00,1.33870,1.34200,1.32660,1.32860,41764
2010.04.23,00:00,1.32850,1.33980,1.32020,1.33830,46471
2010.04.26,00:00,1.33460,1.34140,1.32910,1.33910,42176
2010.04.27,00:00,1.33920,1.34120,1.31450,1.31600,51818
2010.04.28,00:00,1.31600,1.32650,1.31140,1.32030,59265
2010.04.29,00:00,1.32040,1.32760,1.31840,1.32430,45854
2010.04.30,00:00,1.32420,1.33410,1.32250,1.32920,44179
2010.05.03,00:00,1.33290,1.33310,1.31540,1.31890,34721
2010.05.04,00:00,1.31880,1.32120,1.29630,1.29710,49040
2010.05.05,00:00,1.29710,1.29950,1.27890,1.28180,57968
2010.05.06,00:00,1.28180,1.28550,1.25260,1.26290,75911
2010.05.07,00:00,1.26290,1.27970,1.25860,1.27510,84617
2010.05.10,00:00,1.29240,1.30930,1.27590,1.27870,78192
2010.05.11,00:00,1.27860,1.28010,1.26270,1.26320,67630
2010.05.12,00:00,1.26320,1.27370,1.26050,1.26330,60757
2010.05.13,00:00,1.26330,1.26820,1.25160,1.25220,49634
2010.05.14,00:00,1.25220,1.25740,1.23530,1.23570,60566
2010.05.17,00:00,1.23480,1.24120,1.22330,1.23990,73331
2010.05.18,00:00,1.23980,1.24430,1.21580,1.21720,74199
2010.05.19,00:00,1.21720,1.24300,1.21430,1.24210,82617
2010.05.20,00:00,1.24220,1.25960,1.22960,1.24690,79434
2010.05.21,00:00,1.24680,1.26700,1.24630,1.25710,80173
2010.05.24,00:00,1.25460,1.25610,1.23320,1.23450,54124
2010.05.25,00:00,1.23460,1.23860,1.21780,1.23700,61670
2010.05.26,00:00,1.23700,1.23700,1.21540,1.21600,57698
2010.05.27,00:00,1.21600,1.23930,1.21530,1.23570,59316
2010.05.28,00:00,1.23560,1.24510,1.22650,1.22720,52931
2010.05.31,00:00,1.22790,1.23330,1.22670,1.23070,29772
2010.06.01,00:00,1.23070,1.23470,1.21110,1.22110,59065
2010.06.02,00:00,1.22110,1.22710,1.21740,1.22490,59071
2010.06.03,00:00,1.22490,1.23250,1.21520,1.21620,55029
2010.06.04,00:00,1.21610,1.22140,1.19550,1.19670,55297
